iter	RMSE
0	10851.97392
1	10096.68119
2	9440.352151
3	8855.532609
4	8337.822582
5	7900.212789
6	7488.66375
7	7153.209072
8	6831.824342
9	6547.876771
10	6284.398797
11	6047.416773
12	5842.053004
13	5659.692579
14	5506.035989
15	5357.859201
16	5233.498022
17	5112.429208
18	5019.90172
19	4933.152764
20	4851.464817
21	4766.367632
22	4703.591098
23	4650.452666
24	4596.387227
25	4550.775082
26	4481.318312
27	4438.72342
28	4410.293802
29	4360.133436
30	4328.366944
31	4289.599915
32	4264.953219
33	4237.858977
34	4217.178141
35	4158.665509
36	4138.382509
37	4119.417732
38	4100.889163
39	4082.739721
40	4064.927724
41	4008.528138
42	3979.832864
43	3967.020748
44	3951.293308
45	3933.926949
46	3923.995937
47	3913.704834
48	3902.440527
49	3885.276748
50	3874.544793
51	3862.384576
52	3851.53773
53	3837.96549
54	3828.536175
55	3815.274688
56	3798.009259
57	3790.457089
58	3783.593544
59	3754.317507
60	3738.183166
61	3711.938942
62	3698.06861
63	3691.4269
64	3681.836736
65	3675.18351
66	3665.838594
67	3659.640007
68	3653.59424
69	3649.880078
70	3638.794072
71	3633.008221
72	3627.207369
73	3592.848479
74	3585.433804
75	3582.448515
76	3574.737505
77	3564.773644
78	3558.974865
79	3549.391608
80	3545.892959
81	3530.489861
82	3523.399391
83	3521.517961
84	3516.613825
85	3507.684556
86	3498.613323
87	3493.608922
88	3489.776396
89	3483.124132
90	3480.240108
91	3447.630019
92	3443.957755
93	3417.878753
94	3412.992893
95	3408.424617
96	3404.57531
97	3387.817743
98	3384.663305
99	3365.49298
100	3361.203847
101	3359.595936
102	3355.845663
103	3345.125362
104	3340.656757
105	3338.340629
106	3335.533953
107	3331.971888
108	3328.156995
109	3325.134552
110	3320.735858
111	3318.971924
112	3313.579821
113	3310.849741
114	3307.19092
115	3303.852415
116	3298.127524
117	3294.983922
118	3291.023711
119	3288.830327
120	3280.930886
121	3278.441611
122	3276.281367
123	3273.635585
124	3271.70108
125	3267.390069
126	3263.324574
127	3261.722218
128	3260.543059
129	3258.850115
130	3254.971614
131	3251.914951
132	3249.629345
133	3247.900845
134	3247.02483
135	3243.505899
136	3238.164967
137	3226.827979
138	3212.671356
139	3207.878261
140	3206.264216
141	3204.359128
142	3201.797545
143	3198.528545
144	3193.503469
145	3191.107024
146	3187.481556
147	3186.258047
148	3183.291433
149	3181.097422
150	3160.531694
151	3158.611148
152	3151.97874
153	3150.46018
154	3146.120514
155	3142.057128
156	3140.085717
157	3138.690724
158	3137.526367
159	3136.504706
160	3133.647674
161	3132.803406
162	3130.412487
163	3124.383343
164	3121.802333
165	3118.135197
166	3111.487903
167	3109.875943
168	3105.912458
169	3100.252713
170	3098.642105
171	3097.393542
172	3096.107457
173	3085.523735
174	3081.880105
175	3080.940768
176	3077.864168
177	3075.220796
178	3073.28618
179	3071.654457
180	3068.488739
181	3066.001678
182	3064.878269
183	3063.444336
184	3061.695911
185	3058.874919
186	3056.614555
187	3056.330208
188	3054.633377
189	3052.736444
190	3051.752894
191	3049.776927
192	3047.087813
193	3045.835574
194	3044.287137
195	3043.071046
196	3040.234586
197	3038.495391
198	3037.245509
199	3036.400556
200	3034.696886
201	3032.77165
202	3030.962568
203	3028.769765
204	3027.402247
205	3025.196096
206	3020.006114
207	3018.837141
208	3013.246454
209	3011.795543
210	3004.697861
211	3002.565773
212	3000.240901
213	2999.562335
214	2998.504659
215	2996.682634
216	2995.473378
217	2994.626812
218	2993.680613
219	2991.677587
220	2990.410367
221	2986.15787
222	2982.687404
223	2981.123317
224	2979.241845
225	2978.611299
226	2977.264644
227	2975.889883
228	2974.385854
229	2973.139096
230	2971.825527
231	2967.294155
232	2965.347916
233	2962.585181
234	2961.206552
235	2960.66981
236	2959.179276
237	2954.62368
238	2953.752543
239	2952.179058
240	2951.438537
241	2949.877805
242	2948.914418
243	2947.908388
244	2947.093426
245	2943.442328
246	2938.274465
247	2938.232585
248	2937.707726
249	2937.207913
250	2935.790186
251	2935.544961
252	2934.111058
253	2930.033273
254	2929.517843
255	2928.648198
256	2927.364084
257	2926.869825
258	2926.041705
259	2924.725214
260	2924.255953
261	2923.235046
262	2919.705366
263	2919.535795
264	2918.968295
265	2918.064629
266	2917.29041
267	2916.27448
268	2915.410088
269	2914.148337
270	2913.527154
271	2906.480945
272	2905.98095
273	2904.948794
274	2903.785809
275	2902.974661
276	2901.623868
277	2891.605657
278	2890.780184
279	2890.650951
280	2890.59436
281	2890.415947
282	2889.503163
283	2888.34433
284	2882.705483
285	2878.72027
286	2873.795041
287	2871.006668
288	2870.858339
289	2870.723557
290	2870.325217
291	2869.879032
292	2869.705586
293	2866.823112
