iter	Passed	Remaining
0	345	344665
1	611	305333
2	707	235078
3	956	238164
4	1065	212050
5	1221	202340
6	1401	198791
7	1637	203111
8	1843	203000
9	2102	208149
10	2301	206968
11	2507	206418
12	2703	205222
13	2890	203593
14	3077	202067
15	3283	201950
16	3469	200637
17	3671	200315
18	3843	198440
19	4018	196925
20	4176	194696
21	4352	193508
22	4582	194656
23	4800	195216
24	4985	194418
25	5163	193444
26	5369	193513
27	5496	190806
28	5713	191295
29	5876	190006
30	6072	189799
31	6244	188892
32	6453	189114
33	6678	189760
34	6862	189197
35	6992	187254
36	7192	187207
37	7422	187915
38	7621	187812
39	7814	187548
40	8001	187164
41	8183	186655
42	8356	185985
43	8583	186502
44	8781	186368
45	8969	186027
46	9155	185642
47	9375	185956
48	9629	186892
49	9835	186869
50	10008	186240
51	10182	185638
52	10334	184649
53	10518	184262
54	10727	184325
55	10926	184195
56	11097	183588
57	11297	183478
58	11498	183384
59	11644	182424
60	11845	182346
61	12022	181882
62	12160	180868
63	12369	180908
64	12568	180794
65	12756	180526
66	12947	180301
67	13155	180308
68	13348	180102
69	13557	180126
70	13745	179852
71	13942	179705
72	14120	179313
73	14289	178817
74	14468	178445
75	14633	177909
76	14823	177687
77	14969	176943
78	15161	176758
79	15357	176615
80	15517	176057
81	15703	175797
82	15877	175421
83	16061	175144
84	16233	174746
85	16424	174557
86	16591	174112
87	16763	173735
88	16961	173612
89	17157	173478
90	17275	172560
91	17495	172670
92	17708	172705
93	17898	172509
94	18141	172817
95	18311	172430
96	18508	172297
97	18618	171363
98	18824	171322
99	19011	171100
100	19228	171148
101	19420	170980
102	19630	170952
103	19783	170438
104	19950	170058
105	20169	170112
106	20381	170103
107	20609	170218
108	20827	170252
109	21145	171083
110	21338	170901
111	21564	170976
112	21796	171090
113	22087	171665
114	22356	172044
115	22574	172034
116	22794	172028
117	23002	171935
118	23187	171666
119	23336	171136
120	23530	170932
121	23730	170782
122	23925	170590
123	24102	170272
124	24265	169861
125	24395	169221
126	24587	169015
127	24816	169065
128	25072	169288
129	25207	168698
130	25452	168841
131	25656	168709
132	25845	168481
133	26015	168130
134	26231	168073
135	26459	168094
136	26668	167994
137	26864	167803
138	27023	167392
139	27204	167113
140	27370	166748
141	27646	167048
142	27828	166777
143	28031	166630
144	28203	166302
145	28438	166342
146	28638	166183
147	28853	166100
148	29081	166097
149	29279	165918
150	29453	165604
151	29612	165205
152	29803	164988
153	29985	164726
154	30196	164618
155	30374	164331
156	30592	164265
157	30778	164023
158	30926	163580
159	31100	163276
160	31320	163218
161	31510	162997
162	31693	162744
163	31890	162565
164	32075	162318
165	32258	162068
166	32433	161778
167	32669	161790
168	32869	161624
169	33080	161511
170	33275	161319
171	33465	161102
172	33660	160907
173	33830	160596
174	34028	160418
175	34205	160143
176	34382	159870
177	34595	159763
178	34790	159571
179	35025	159559
180	35404	160201
181	35599	160003
182	35812	159883
183	36036	159812
184	36207	159509
185	36357	159111
186	36605	159147
187	36857	159193
188	37072	159077
189	37305	159037
190	37517	158910
191	37729	158777
192	37981	158814
193	38207	158737
194	38402	158531
195	38617	158409
196	38843	158331
197	39018	158043
198	39224	157884
199	39387	157549
200	39569	157293
201	39795	157211
202	39928	156764
203	40116	156533
204	40283	156222
205	40484	156043
206	40686	155867
207	40898	155727
208	41085	155495
209	41312	155414
210	41505	155203
211	41766	155243
212	41939	154958
213	42136	154761
214	42305	154466
215	42504	154274
216	42705	154095
217	42876	153806
218	43091	153674
219	43278	153442
220	43480	153263
221	43686	153098
222	43885	152910
223	44071	152675
224	44274	152499
225	44497	152393
226	44698	152212
227	44923	152109
228	45115	151895
229	45340	151791
230	45528	151564
231	45741	151419
232	46025	151509
233	46214	151282
234	46445	151193
235	46705	151197
236	46828	150760
237	47024	150556
238	47255	150465
239	47454	150271
240	47637	150027
241	47886	149990
242	48085	149796
243	48284	149603
244	48500	149459
245	48714	149311
246	48907	149097
247	49067	148786
248	49196	148379
249	49526	148580
250	49702	148316
251	49906	148136
252	50118	147978
253	50313	147772
254	50556	147703
255	50748	147489
256	50967	147350
257	51206	147267
258	51356	146932
259	51492	146556
260	51767	146576
261	51969	146386
262	52171	146199
263	52409	146110
264	52636	145991
265	52864	145874
266	53041	145614
267	53258	145467
268	53514	145424
269	53729	145267
270	53964	145167
271	54192	145043
272	54483	145089
273	54711	144965
274	54908	144757
275	55161	144698
276	55399	144597
277	55608	144422
278	55821	144254
279	56069	144179
280	56219	143849
281	56423	143658
282	56601	143403
283	56784	143160
284	56960	142900
285	57176	142741
286	57372	142532
287	57620	142451
288	57776	142143
289	57964	141912
290	58261	141949
291	58371	141529
292	58509	141181
293	58688	140932
